,HDI Rank,Country,2012
2,169,Afghanistan,0.2
3,83,Algeria,0.0
4,150,Angola,100.9
5,78,Azerbaijan,0.1
6,139,Bangladesh,13.9
7,103,Belize,0.0
8,167,Benin,79.6
9,132,Bhutan,0.0
10,118,Bolivia (Plurinational State of),0.1
11,108,Botswana,0.4
12,79,Brazil,0.6
13,185,Burkina Faso,103.3
14,184,Burundi,63.7
15,122,Cabo Verde,0.0
16,143,Cambodia,3.7
17,153,Cameroon,64.7
18,188,Central African Republic,114.9
19,186,Chad,152.6
20,90,China,0.0
21,95,Colombia,0.9
22,160,Comoros,70.4
23,135,Congo,103.8
24,176,Congo (Democratic Republic of the),106.6
25,66,Costa Rica,0.0
26,171,C̫te d'Ivoire,70.6
27,172,Djibouti,27.9
28,99,Dominican Republic,0.1
29,89,Ecuador,0.0
30,117,El Salvador,0.0
31,135,Equatorial Guinea,69.3
32,179,Eritrea,3.6
33,174,Ethiopia,48.1
34,109,Gabon,67.4
35,173,Gambia,83.7
36,70,Georgia,0.0
37,139,Ghana,67.0
38,125,Guatemala,0.0
39,183,Guinea,104.8
40,178,Guinea-Bissau,96.2
41,127,Guyana,23.6
42,163,Haiti,5.1
43,130,Honduras,0.1
44,131,India,4.1
45,113,Indonesia,9.8
46,69,Iran (Islamic Republic of),0.0
47,146,Kenya,49.6
48,0,Korea (Democratic People's Rep. of),0.0
49,18,Korea (Republic of),0.0
50,120,Kyrgyzstan,0.0
51,138,Lao People's Democratic Republic,9.5
52,177,Liberia,69.2
53,158,Madagascar,41.4
54,170,Malawi,62.9
55,59,Malaysia,1.0
56,175,Mali,92.1
57,157,Mauritania,67.2
58,77,Mexico,0.0
59,181,Mozambique,71.4
60,145,Myanmar,11.3
61,125,Namibia,0.1
62,144,Nepal,0.2
63,124,Nicaragua,0.1
64,187,Niger,131.1
65,152,Nigeria,106.6
66,147,Pakistan,1.8
67,60,Panama,0.0
68,154,Papua New Guinea,40.3
69,110,Paraguay,0.0
70,87,Peru,0.7
71,116,Philippines,0.1
72,159,Rwanda,33.2
73,142,Sao Tome and Principe,42.5
74,38,Saudi Arabia,0.0
75,162,Senegal,59.5
76,179,Sierra Leone,108.7
77,156,Solomon Islands,5.5
78,0,Somalia,33.5
79,119,South Africa,2.2
80,181,South Sudan,55.4
81,73,Sri Lanka,0.0
82,165,Sudan,16.5
83,97,Suriname,1.2
84,148,Swaziland,1.2
85,129,Tajikistan,0.0
86,151,Tanzania (United Republic of),50.5
87,87,Thailand,0.9
88,133,Timor-Leste,16.2
89,166,Togo,82.8
90,71,Turkey,0.0
91,163,Uganda,57.9
92,134,Vanuatu,3.7
93,71,Venezuela (Bolivarian Republic of),2.2
94,115,Viet Nam,0.2
95,168,Yemen,10.0
96,139,Zambia,79.2
97,154,Zimbabwe,18.4
98,,,
