,HDI Rank,Country,1995,2000,2005,2010,2011,2012,2013,2014,2015
2,169,Afghanistan,,,0.739,0.724,0.713,0.701,0.689,0.676,0.667
3,75,Albania,,0.381,0.332,0.273,0.279,0.281,0.272,0.267,0.267
4,83,Algeria,0.680 eee,0.627,0.561,0.523,0.514,0.432,0.429,0.429,0.429
5,45,Argentina,0.431 eee,0.422,0.374,0.370,0.367,0.366,0.364,0.364,
6,84,Armenia,0.471 eee,0.467,0.406,0.344,0.338,0.317,0.308,0.299,0.293
7,2,Australia,0.180 eee,0.160,0.139,0.138,0.133,0.131,0.124,0.123,0.120
8,24,Austria,0.187 eee,0.151,0.118,0.111,0.105,0.100,0.087,0.083,0.078
9,78,Azerbaijan,,,0.324,0.317,0.319,0.319,0.324,0.330,0.326
10,58,Bahamas,,0.385,0.358,0.383,0.381,0.377,0.372,0.370,0.362
11,47,Bahrain,,,0.331,0.241,0.225,0.225,0.220,0.224,0.233
12,139,Bangladesh,0.656 eee,0.630,0.591,0.559,0.549,0.542,0.535,0.527,0.520
13,54,Barbados,0.372 eee,0.356,0.345,0.321,0.313,0.307,0.294,0.291,0.291
14,52,Belarus,,,,0.151,0.148,0.151,0.148,0.146,0.144
15,22,Belgium,0.163 eee,0.122,0.104,0.093,0.090,0.087,0.084,0.076,0.073
16,103,Belize,0.515 eee,0.481,0.464,0.423,0.411,0.394,0.384,0.378,0.375
17,167,Benin,0.682 eee,0.678,0.656,0.621,0.627,0.621,0.615,0.609,0.613
18,132,Bhutan,,,,,,0.487,0.524,0.496,0.477
19,118,Bolivia (Plurinational State of),,0.591,0.559,0.503,0.498,0.492,0.486,0.451,0.446
20,81,Bosnia and Herzegovina,,,,0.239,0.210,0.199,0.186,,0.158
21,108,Botswana,0.551 eee,0.521,0.523,0.496,0.486,0.478,0.465,0.445,0.435
22,79,Brazil,0.509 eee,0.503,0.469,0.454,0.448,0.448,0.431,0.420,0.414
23,56,Bulgaria,0.373 eee,0.336,0.251,0.232,0.229,0.214,0.215,0.226,0.223
24,185,Burkina Faso,,,0.636,0.611,0.607,0.602,0.598,,0.615
25,184,Burundi,,0.594,0.527,0.502,0.499,0.494,0.489,0.483,0.474
26,143,Cambodia,0.660 eee,0.599,0.561,0.492,0.488,0.486,0.485,0.482,0.479
27,153,Cameroon,0.703 eee,0.693,0.661,0.623,0.618,0.613,0.577,0.572,0.568
28,10,Canada,0.184 eee,,0.132,0.127,0.118,0.113,0.108,0.102,0.098
29,188,Central African Republic,0.740 eee,0.706,0.684,0.674,0.659,0.656,,,
30,186,Chad,,,,,,,,,0.695
31,38,Chile,0.476 eee,0.434,0.386,0.359,0.352,0.347,0.329,0.325,0.322
32,90,China,,0.254,0.228,0.197,0.191,0.184,0.172,0.168,0.164
33,95,Colombia,0.538 eee,0.497,0.484,0.437,0.431,0.424,0.423,0.399,0.393
34,135,Congo,,0.623,0.625,0.617,0.612,0.609,0.606,0.594,0.592
35,176,Congo (Democratic Republic of the),,,0.667,0.677,,0.670,0.667,0.657,0.663
36,66,Costa Rica,0.463 eee,0.428,0.347,0.327,0.320,0.314,0.308,0.313,0.308
37,45,Croatia,0.280 eee,0.206,0.164,0.146,0.142,0.135,0.128,0.120,0.141
38,68,Cuba,0.428 eee,0.393,0.343,0.328,0.322,0.317,0.311,0.307,0.304
39,33,Cyprus,0.347 eee,0.258,0.140,0.134,0.140,0.138,0.135,0.120,0.116
40,28,Czech Republic,0.252 eee,,0.153,0.135,0.132,0.131,0.135,0.134,0.129
41,171,C̫te d'Ivoire,0.709 eee,,0.691,0.683,0.673,0.674,0.671,0.672,0.672
42,5,Denmark,0.102 eee,0.076,,0.056,0.051,0.048,0.044,0.043,0.041
43,99,Dominican Republic,0.571 eee,0.485,0.469,0.467,0.493,0.447,0.483,0.476,0.470
44,89,Ecuador,0.589 eee,0.491,0.454,0.421,0.424,0.418,0.405,0.394,0.391
45,111,Egypt,0.665 eee,0.634,0.581,,,0.575,,,
46,117,El Salvador,0.526 eee,0.518,0.486,0.438,0.437,0.413,0.406,0.397,0.384
47,30,Estonia,0.386 eee,0.284,0.214,0.168,0.171,0.162,0.155,0.154,0.131
48,174,Ethiopia,,,0.611,0.576,0.568,0.560,0.546,0.531,0.499
49,91,Fiji,0.499 eee,,0.409,,,,,0.369,0.358
50,23,Finland,0.103 eee,0.085,0.088,0.077,0.072,0.068,0.064,0.060,0.056
51,21,France,0.220 eee,0.192,0.156,0.125,0.123,0.108,0.107,0.103,0.102
52,109,Gabon,0.606 eee,0.595,0.574,0.558,0.556,0.552,0.549,0.547,0.542
53,173,Gambia,0.747 eee,0.739,0.647,0.662,0.659,0.657,0.654,0.642,0.641
54,70,Georgia,0.426 eee,0.422,0.388,0.420,0.416,0.375,0.369,0.363,0.361
55,4,Germany,0.156 eee,0.130,0.117,0.097,0.092,0.087,0.077,0.073,0.066
56,139,Ghana,0.626 eee,,0.573,0.570,0.567,,0.549,0.548,0.547
57,29,Greece,0.283 eee,0.221,0.179,0.159,0.148,0.134,0.128,0.121,0.119
58,125,Guatemala,0.596 eee,0.599,0.570,0.540,0.531,0.523,0.522,0.503,0.494
59,127,Guyana,,0.540,0.527,0.522,0.518,0.515,0.512,0.509,0.508
60,163,Haiti,,,0.579,,0.597,0.603,0.600,0.597,0.593
61,130,Honduras,,0.547,0.515,0.513,0.504,0.495,,0.466,0.461
62,43,Hungary,0.322 eee,0.288,0.260,0.255,0.261,0.259,0.259,0.249,0.252
63,9,Iceland,0.184 eee,0.149,0.125,0.099,0.095,0.085,0.076,0.065,0.051
64,131,India,0.687 eee,,0.619,0.591,0.582,0.573,0.561,0.544,0.530
65,113,Indonesia,0.578 eee,0.564,0.533,0.486,0.481,0.476,0.472,0.472,0.467
66,69,Iran (Islamic Republic of),0.665 eee,0.601,0.512,0.529,0.527,0.517,0.516,0.514,0.509
67,121,Iraq,0.658 eee,0.620,,0.536,0.534,0.532,0.529,0.528,0.525
68,8,Ireland,0.202 eee,0.201,0.192,0.171,0.155,0.149,0.140,0.135,0.127
69,19,Israel,0.244 eee,0.197,0.173,0.149,0.141,0.136,0.124,0.118,0.103
70,26,Italy,0.198 eee,0.178,0.175,0.124,0.120,0.116,0.090,0.085,0.085
71,94,Jamaica,0.480 eee,0.469,0.466,0.455,0.443,0.439,0.435,0.426,0.422
72,17,Japan,0.159 eee,0.135,0.148,0.120,0.119,0.127,0.127,0.124,0.116
73,86,Jordan,0.674 eee,0.632,0.557,0.488,0.489,0.487,0.484,0.480,0.478
74,56,Kazakhstan,0.449 eee,0.405,0.360,0.267,0.254,0.226,0.215,0.203,0.202
75,146,Kenya,0.708 eee,0.696,0.654,0.616,0.613,0.610,0.573,0.569,0.565
76,18,Korea (Republic of),0.277 eee,0.191,0.107,0.099,0.093,0.083,0.076,0.071,0.067
77,51,Kuwait,0.585 eee,0.585,0.374,0.236,0.234,0.247,0.243,0.340,0.335
78,120,Kyrgyzstan,0.510 eee,0.476,0.677,0.365,0.372,0.373,0.378,0.380,0.394
79,138,Lao People's Democratic Republic,,0.577,0.542,0.510,0.501,0.493,0.484,0.475,0.468
80,44,Latvia,0.410 eee,0.276,0.217,0.208,0.204,0.188,0.184,0.195,0.191
81,76,Lebanon,,,,0.404,0.398,0.393,0.387,0.386,0.381
82,160,Lesotho,0.577 eee,0.595,0.585,0.569,0.563,0.556,0.553,0.549,0.549
83,177,Liberia,,0.689,0.676,0.661,0.668,0.660,0.654,0.649,0.649
84,102,Libya,,,0.268,0.215,,0.166,0.166,0.169,0.167
85,37,Lithuania,0.325 eee,0.281,0.185,0.168,0.169,0.141,0.135,0.128,0.121
86,20,Luxembourg,0.200 eee,0.175,0.156,0.132,0.112,0.114,0.088,0.081,0.075
87,170,Malawi,0.719 eee,0.692,0.655,0.616,0.609,0.607,0.605,0.616,0.614
88,59,Malaysia,0.398 eee,0.340,0.324,0.308,0.310,0.303,0.293,0.287,0.291
89,105,Maldives,0.649 eee,0.541,0.420,0.383,0.369,0.353,0.335,0.328,0.312
90,175,Mali,0.726 eee,0.725,0.723,0.677,0.681,0.682,,0.686,0.689
91,33,Malta,0.331 eee,0.321,0.309,0.277,0.274,0.263,0.216,0.213,0.217
92,157,Mauritania,0.809 eee,0.756,,0.656,0.652,0.647,,0.630,0.627
93,64,Mauritius,0.479 eee,0.452,0.369,0.382,0.370,0.369,0.361,0.355,0.380
94,77,Mexico,0.508 eee,0.493,0.431,0.401,0.393,0.369,0.364,0.355,0.345
95,107,Moldova (Republic of),0.486 eee,0.425,0.292,0.286,0.257,0.255,0.247,0.250,0.232
96,92,Mongolia,0.500 eee,0.450,0.410,0.406,0.397,0.300,0.292,0.283,0.278
97,48,Montenegro,,,,0.218,0.203,0.175,0.174,0.163,0.156
98,123,Morocco,0.713 eee,0.696,0.580,0.563,0.530,0.527,0.522,0.517,0.494
99,181,Mozambique,0.664 eee,0.645,0.638,0.617,0.607,0.596,0.587,,0.574
100,145,Myanmar,,,,0.459,0.476,0.446,0.443,0.443,0.374
101,125,Namibia,0.555 eee,0.546,0.525,0.512,0.510,0.506,0.501,,0.474
102,144,Nepal,0.710 eee,0.670,0.653,0.537,0.528,0.518,,0.506,0.497
103,7,Netherlands,0.113 eee,0.096,0.082,0.054,0.050,0.049,0.047,0.044,0.044
104,13,New Zealand,0.222 eee,0.190,0.188,0.186,0.179,0.175,0.171,0.165,0.158
105,124,Nicaragua,0.629 eee,0.602,0.541,0.520,0.477,0.479,0.474,0.466,0.462
106,187,Niger,0.831 eee,0.818,0.730,,0.712,0.707,0.702,0.698,0.695
107,1,Norway,0.122 eee,0.109,0.085,0.075,0.071,0.067,0.062,0.057,0.053
108,52,Oman,,,0.387,0.323,0.311,0.302,0.294,0.284,0.281
109,147,Pakistan,0.766 eee,,0.595,0.570,0.569,0.556,0.555,0.550,0.546
110,60,Panama,0.517 eee,0.507,0.472,0.515,0.517,0.512,0.507,0.458,0.457
111,154,Papua New Guinea,0.668 eee,0.663,0.682,0.667,0.662,0.605,0.602,0.597,0.595
112,110,Paraguay,0.575 eee,0.557,0.537,0.501,0.499,0.491,0.469,0.468,0.464
113,87,Peru,0.547 eee,,0.456,0.406,0.412,0.400,0.394,0.389,0.385
114,116,Philippines,0.483 eee,0.479,0.467,0.449,,,0.437,0.436,0.436
115,36,Poland,0.258 eee,0.205,0.164,0.170,0.155,0.152,0.150,0.146,0.137
116,41,Portugal,0.243 eee,0.208,0.182,0.141,0.128,0.127,0.110,0.103,0.091
117,33,Qatar,,,,0.579,0.554,0.556,0.552,0.546,0.542
118,50,Romania,0.474 eee,,0.355,0.358,0.355,0.343,0.344,0.342,0.339
119,49,Russian Federation,0.467 eee,0.423,0.359,0.315,0.308,0.296,0.290,0.286,0.271
120,159,Rwanda,0.583 eee,0.552,0.484,0.444,0.433,0.422,0.405,0.394,0.383
121,92,Saint Lucia,,,,,,,0.370,0.367,0.354
122,104,Samoa,,0.496,0.493,0.456,0.491,0.485,0.478,0.445,0.439
123,142,Sao Tome and Principe,,,,0.533,0.531,0.530,0.529,0.527,0.524
124,38,Saudi Arabia,,,0.672,0.633,0.623,0.619,0.267,0.262,0.257
125,162,Senegal,0.628 eee,0.632,0.629,0.575,0.567,0.539,0.532,0.525,0.521
126,66,Serbia,,,,0.220,0.217,0.189,0.190,0.187,0.185
127,179,Sierra Leone,,0.695,0.669,0.665,0.662,0.660,0.656,0.653,0.650
128,5,Singapore,0.252 eee,0.272,0.167,0.099,0.102,0.091,0.082,0.069,0.068
129,40,Slovakia,0.248 eee,0.219,0.189,0.194,0.192,0.182,0.180,0.180,0.180
130,25,Slovenia,0.247 eee,,0.139,0.124,0.073,0.067,0.064,0.057,0.053
131,119,South Africa,0.424 eee,0.419,0.426,0.423,0.419,0.415,0.406,0.400,0.394
132,27,Spain,0.157 eee,0.119,0.118,0.113,0.106,0.100,0.095,0.087,0.081
133,73,Sri Lanka,0.471 eee,,0.445,0.409,0.394,0.391,0.382,0.385,0.386
134,165,Sudan,0.720 eee,,0.665,0.622,0.616,0.609,0.602,0.595,0.575
135,97,Suriname,,,0.492,0.514,0.498,0.495,0.496,0.493,0.448
136,148,Swaziland,0.652 eee,0.661,0.619,0.572,0.565,0.559,0.576,0.570,0.566
137,14,Sweden,0.090 eee,0.062,0.053,0.051,0.049,0.049,0.048,0.047,0.048
138,2,Switzerland,0.117 eee,0.094,0.073,0.062,0.060,0.056,0.049,0.045,0.040
139,149,Syrian Arab Republic,0.569 eee,0.550,0.540,0.539,0.542,0.547,0.551,0.553,0.554
140,129,Tajikistan,0.558 eee,0.410,0.345,0.330,0.328,0.323,0.321,0.324,0.322
141,151,Tanzania (United Republic of),0.652 eee,,0.592,,0.558,0.556,0.553,0.548,0.544
142,87,Thailand,0.400 eee,0.397,0.348,0.319,0.307,0.309,0.307,0.369,0.366
143,82,The former Yugoslav Republic of Macedonia,,,,,,,,,0.160
144,166,Togo,0.741 eee,0.665,0.633,0.598,0.589,0.586,0.567,0.557,0.556
145,101,Tonga,0.684 eee,0.671,0.476,0.673,0.472,0.470,0.465,0.662,0.659
146,65,Trinidad and Tobago,0.426 eee,,0.353,0.353,0.349,0.346,0.343,0.341,0.324
147,97,Tunisia,0.532 eee,0.427,0.336,0.309,0.301,0.297,0.299,0.288,0.289
148,71,Turkey,0.631 eee,0.589,0.564,0.426,0.381,0.365,0.351,0.340,0.328
149,111,Turkmenistan,0.369 eee,,,,,,,,
150,163,Uganda,0.650 eee,0.643,0.592,0.564,0.552,0.545,0.537,0.529,0.522
151,84,Ukraine,0.482 eee,0.384,0.370,0.334,0.329,0.316,0.308,0.290,0.284
152,42,United Arab Emirates,0.643 eee,0.609,0.591,0.231,0.246,0.247,0.247,0.247,0.232
153,16,United Kingdom,0.237 eee,0.215,0.206,0.184,0.174,0.168,0.159,0.149,0.131
154,10,United States,0.305 eee,,0.264,0.254,0.248,0.235,0.227,0.214,0.203
155,54,Uruguay,0.440 eee,0.389,0.373,0.327,0.326,0.320,0.320,0.317,0.284
156,105,Uzbekistan,,,,,,,0.279,0.279,0.287
157,71,Venezuela (Bolivarian Republic of),0.547 eee,,0.470,0.469,0.468,0.466,0.466,0.463,0.461
158,115,Viet Nam,0.383 eee,0.347,0.317,0.324,0.328,0.331,0.333,0.334,0.337
159,168,Yemen,,0.814,0.791,0.779,0.772,0.767,0.762,0.757,0.767
160,139,Zambia,0.625 eee,0.626,0.593,0.553,0.556,0.550,0.544,0.541,0.526
161,154,Zimbabwe,0.598 eee,0.631,0.589,0.581,0.575,0.569,0.532,0.535,0.540
162,,,,,,,,,,,
